"contrast","gene_id","gene_symbol","effect","p_exact","q_storey"
"R_Tumor","ENSG00000138660.12","AP1AR",0.161111111111111,0.00214739419208392,0.0793079109945445
"R_Tumor","ENSG00000213901.11","SLC23A3",0.166666666666667,0.00214981022626735,0.0793079109945445
"R_Tumor","ENSG00000112282.18","MED23",0.15,0.0021530316051786,0.0793079109945445
"R_Tumor","ENSG00000104969.11","SGTA",0.855555555555556,0.00217086423843726,0.0793079109945445
"R_Tumor","ENSG00000156983.16","BRPF1",0.833333333333333,0.002174430765089,0.0793079109945445
"R_Tumor","ENSG00000228716.7","DHFR",0.155555555555556,0.00217684679927243,0.0793079109945445
"R_Tumor","ENSG00000283632.4","EXOC3L2",0.85,0.00219180320136034,0.0793079109945445
"R_Tumor","ENSG00000091106.19","NLRC4",0.172222222222222,0.00219502458027159,0.0793079109945445
"R_Tumor","ENSG00000177000.13","MTHFR",0.844444444444444,0.00220146733809407,0.0793079109945445
"R_Tumor","ENSG00000182872.16","RBM10",0.838888888888889,0.00220733484968241,0.0793079109945445
"R_Tumor","ENSG00000167543.16","TP53I13",0.844444444444444,0.0022088304898912,0.0793079109945445
"R_Tumor","ENSG00000115486.12","GGCX",0.827777777777778,0.00221630869093515,0.0793079109945445
"R_Tumor","ENSG00000047578.13","KATNIP",0.833333333333333,0.00223034469904843,0.0795027093790245
"R_Tumor","ENSG00000170390.16","DCLK2",0.827777777777778,0.00224461080565536,0.0795027093790245
"R_Tumor","ENSG00000071655.18","MBD3",0.833333333333333,0.00224748703682611,0.0795027093790245
"R_Tumor","ENSG00000111652.10","COPS7A",0.861111111111111,0.00226957649221749,0.079721263026261
"R_Tumor","ENSG00000119969.15","HELLS",0.166666666666667,0.00227613429928681,0.079721263026261
"R_Tumor","ENSG00000091542.9","ALKBH5",0.827777777777778,0.00227947072744488,0.079721263026261
"R_Tumor","ENSG00000122025.15","FLT3",0.166666666666667,0.00229074555363423,0.0798143977108349
"R_Tumor","ENSG00000077152.11","UBE2T",0.177777777777778,0.00233055259303745,0.0804935508773563
"R_Tumor","ENSG00000177303.10","CASKIN2",0.833333333333333,0.0023383759418219,0.0804935508773563
"R_Tumor","ENSG00000167775.11","CD320",0.838888888888889,0.00235494303336543,0.0804935508773563
"R_Tumor","ENSG00000138604.10","GLCE",0.15,0.00235770421528935,0.0804935508773563
"R_Tumor","ENSG00000105371.10","ICAM4",0.827777777777778,0.0023609255942006,0.0804935508773563
"R_Tumor","ENSG00000106462.11","EZH2",0.172222222222222,0.00237806793197828,0.0804935508773563
"R_Tumor","ENSG00000165916.8","PSMC3",0.822222222222222,0.00238128931088953,0.0804935508773563
"R_Tumor","ENSG00000144744.17","UBA3",0.15,0.00239659086071793,0.0804935508773563
"R_Tumor","ENSG00000180929.6","GPR62",0.827777777777778,0.00240222827381261,0.0804935508773563
